Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Death Spiral Rate (%),Time (s)
Asymmetric Heuristic Search (AHS),{'alpha': 0.5},873.54,64.58,601050,27.45,0.2116
Asymmetric Heuristic Search (AHS),{'alpha': 0.51},686.63,57.98,601162,21.0,0.1603
Asymmetric Heuristic Search (AHS),{'alpha': 0.52},723.31,57.23,601094,22.3,0.1739
Asymmetric Heuristic Search (AHS),{'alpha': 0.53},907.19,60.08,601129,28.75,0.2156
Asymmetric Heuristic Search (AHS),{'alpha': 0.54},1052.74,59.23,600810,33.75,0.2482
Asymmetric Heuristic Search (AHS),{'alpha': 0.55},818.67,60.65,601126,25.75,0.1928
Asymmetric Heuristic Search (AHS),{'alpha': 0.56},905.08,55.96,601075,28.75,0.2134
Asymmetric Heuristic Search (AHS),{'alpha': 0.57},715.7,60.62,601087,22.35,0.1685
Asymmetric Heuristic Search (AHS),{'alpha': 0.58},856.42,61.23,601184,27.2,0.2022
Asymmetric Heuristic Search (AHS),{'alpha': 0.59},785.6,58.76,601185,24.7,0.1846
Asymmetric Heuristic Search (AHS),{'alpha': 0.6},716.32,51.85,601174,22.4,0.1694
Asymmetric Heuristic Search (AHS),{'alpha': 0.61},803.82,53.77,600765,25.45,0.1861
Asymmetric Heuristic Search (AHS),{'alpha': 0.62},890.82,51.03,601151,28.4,0.2097
Asymmetric Heuristic Search (AHS),{'alpha': 0.63},846.14,52.02,600512,26.95,0.1946
Asymmetric Heuristic Search (AHS),{'alpha': 0.64},577.92,45.42,601115,17.75,0.1307
Asymmetric Heuristic Search (AHS),{'alpha': 0.65},675.66,46.61,600607,21.1,0.1536
Asymmetric Heuristic Search (AHS),{'alpha': 0.66},767.71,53.87,601193,24.3,0.1812
Asymmetric Heuristic Search (AHS),{'alpha': 0.67},963.21,52.2,600843,31.05,0.2212
Asymmetric Heuristic Search (AHS),{'alpha': 0.68},811.57,48.43,600315,25.85,0.1875
Asymmetric Heuristic Search (AHS),{'alpha': 0.69},526.88,50.47,601149,16.05,0.1226
Asymmetric Heuristic Search (AHS),{'alpha': 0.7},772.92,41.93,601123,24.55,0.1733
Asymmetric Heuristic Search (AHS),{'alpha': 0.71},571.09,38.85,601171,17.7,0.1269
Asymmetric Heuristic Search (AHS),{'alpha': 0.72},884.27,39.22,601194,28.4,0.1993
Asymmetric Heuristic Search (AHS),{'alpha': 0.73},1036.11,45.76,600908,33.55,0.2389
Asymmetric Heuristic Search (AHS),{'alpha': 0.74},553.38,37.56,601199,17.15,0.1209
Asymmetric Heuristic Search (AHS),{'alpha': 0.75},554.24,43.22,601168,17.2,0.1249
Asymmetric Heuristic Search (AHS),{'alpha': 0.76},962.04,41.43,601188,31.1,0.216
Asymmetric Heuristic Search (AHS),{'alpha': 0.77},895.88,32.56,599428,28.85,0.1953
Asymmetric Heuristic Search (AHS),{'alpha': 0.78},872.09,35.53,600934,28.05,0.1904
Asymmetric Heuristic Search (AHS),{'alpha': 0.79},794.08,41.47,601154,25.4,0.1789
Asymmetric Heuristic Search (AHS),{'alpha': 0.8},618.21,34.4,601157,19.4,0.1339
Asymmetric Heuristic Search (AHS),{'alpha': 0.81},983.55,37.5,600925,31.85,0.2175
Asymmetric Heuristic Search (AHS),{'alpha': 0.82},883.44,31.97,600950,28.45,0.1908
Asymmetric Heuristic Search (AHS),{'alpha': 0.83},717.04,39.57,600806,22.75,0.158
Asymmetric Heuristic Search (AHS),{'alpha': 0.84},726.1,27.13,601191,23.1,0.1543
Asymmetric Heuristic Search (AHS),{'alpha': 0.85},612.24,21.6,601166,19.25,0.1274
Asymmetric Heuristic Search (AHS),{'alpha': 0.86},717.35,28.7,600956,22.8,0.1529
Asymmetric Heuristic Search (AHS),{'alpha': 0.87},575.68,23.69,601188,18.0,0.122
Asymmetric Heuristic Search (AHS),{'alpha': 0.88},902.17,20.01,600550,29.1,0.1892
Asymmetric Heuristic Search (AHS),{'alpha': 0.89},777.6,27.47,600963,24.8,0.1662
Asymmetric Heuristic Search (AHS),{'alpha': 0.9},819.92,25.77,600428,26.25,0.1745
Asymmetric Heuristic Search (AHS),{'alpha': 0.91},663.44,21.47,600747,20.9,0.1378
Asymmetric Heuristic Search (AHS),{'alpha': 0.92},673.29,16.52,600194,21.2,0.1378
Asymmetric Heuristic Search (AHS),{'alpha': 0.93},759.66,20.24,600395,24.1,0.1574
Asymmetric Heuristic Search (AHS),{'alpha': 0.94},798.05,18.06,600242,25.35,0.1662
Asymmetric Heuristic Search (AHS),{'alpha': 0.95},738.7,15.51,593761,23.25,0.1543
Asymmetric Heuristic Search (AHS),{'alpha': 0.96},743.18,13.52,597959,23.25,0.1643
Asymmetric Heuristic Search (AHS),{'alpha': 0.97},695.36,10.76,600297,21.5,0.1417
Asymmetric Heuristic Search (AHS),{'alpha': 0.98},716.16,11.6,600785,21.85,0.1433
Asymmetric Heuristic Search (AHS),{'alpha': 0.99},713.16,5.77,595737,20.85,0.1462
