Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Death Spiral Rate (%),Time (s)
Asymmetric Heuristic Search (AHS),{'alpha': 0.5},878.73,62.05,601134,27.6,0.2088
Asymmetric Heuristic Search (AHS),{'alpha': 0.51},716.54,57.84,601104,22.05,0.1688
Asymmetric Heuristic Search (AHS),{'alpha': 0.52},698.08,57.89,601039,21.4,0.1633
Asymmetric Heuristic Search (AHS),{'alpha': 0.53},850.75,60.01,601186,26.8,0.1992
Asymmetric Heuristic Search (AHS),{'alpha': 0.54},1086.95,60.1,601066,34.9,0.255
Asymmetric Heuristic Search (AHS),{'alpha': 0.55},803.01,61.5,601109,25.25,0.1923
Asymmetric Heuristic Search (AHS),{'alpha': 0.56},886.88,53.19,601167,28.1,0.2074
Asymmetric Heuristic Search (AHS),{'alpha': 0.57},727.87,59.36,600739,22.75,0.1725
Asymmetric Heuristic Search (AHS),{'alpha': 0.58},838.15,59.51,601130,26.6,0.1968
Asymmetric Heuristic Search (AHS),{'alpha': 0.59},769.06,58.5,600747,24.2,0.1816
Asymmetric Heuristic Search (AHS),{'alpha': 0.6},650.31,54.75,601189,20.15,0.1515
Asymmetric Heuristic Search (AHS),{'alpha': 0.61},773.08,53.3,601199,24.4,0.1791
Asymmetric Heuristic Search (AHS),{'alpha': 0.62},921.93,51.35,601187,29.4,0.2118
Asymmetric Heuristic Search (AHS),{'alpha': 0.63},899.33,54.28,601178,28.7,0.2102
Asymmetric Heuristic Search (AHS),{'alpha': 0.64},575.02,46.5,601118,17.65,0.1303
Asymmetric Heuristic Search (AHS),{'alpha': 0.65},628.62,43.52,601118,19.55,0.1403
Asymmetric Heuristic Search (AHS),{'alpha': 0.66},771.86,53.67,600873,24.4,0.179
Asymmetric Heuristic Search (AHS),{'alpha': 0.67},1019.99,52.64,601199,32.95,0.2357
Asymmetric Heuristic Search (AHS),{'alpha': 0.68},759.92,48.92,601185,24.1,0.174
Asymmetric Heuristic Search (AHS),{'alpha': 0.69},475.96,50.07,601179,14.4,0.109
Asymmetric Heuristic Search (AHS),{'alpha': 0.7},772.1,40.17,601122,24.5,0.1715
Asymmetric Heuristic Search (AHS),{'alpha': 0.71},616.88,38.33,601134,19.25,0.14
Asymmetric Heuristic Search (AHS),{'alpha': 0.72},929.5,38.38,601158,29.9,0.2078
Asymmetric Heuristic Search (AHS),{'alpha': 0.73},1012.57,45.67,601189,32.75,0.2287
Asymmetric Heuristic Search (AHS),{'alpha': 0.74},618.95,36.39,600867,19.35,0.1374
Asymmetric Heuristic Search (AHS),{'alpha': 0.75},577.79,42.64,601157,17.95,0.1298
Asymmetric Heuristic Search (AHS),{'alpha': 0.76},1004.0,41.4,600870,32.5,0.2264
Asymmetric Heuristic Search (AHS),{'alpha': 0.77},889.94,34.42,600505,28.65,0.193
Asymmetric Heuristic Search (AHS),{'alpha': 0.78},853.53,35.62,601179,27.4,0.1861
Asymmetric Heuristic Search (AHS),{'alpha': 0.79},896.06,42.99,600917,28.85,0.1973
Asymmetric Heuristic Search (AHS),{'alpha': 0.8},610.38,34.23,601168,19.15,0.1347
Asymmetric Heuristic Search (AHS),{'alpha': 0.81},1023.63,37.7,600915,33.15,0.2255
Asymmetric Heuristic Search (AHS),{'alpha': 0.82},846.83,31.74,601157,27.25,0.1826
Asymmetric Heuristic Search (AHS),{'alpha': 0.83},767.62,41.58,600931,24.45,0.1783
Asymmetric Heuristic Search (AHS),{'alpha': 0.84},734.32,28.08,601193,23.4,0.1551
Asymmetric Heuristic Search (AHS),{'alpha': 0.85},621.55,21.74,601166,19.55,0.1308
Asymmetric Heuristic Search (AHS),{'alpha': 0.86},740.67,29.1,600375,23.6,0.159
Asymmetric Heuristic Search (AHS),{'alpha': 0.87},614.23,22.09,600692,19.3,0.127
Asymmetric Heuristic Search (AHS),{'alpha': 0.88},865.48,21.48,600725,27.85,0.1832
Asymmetric Heuristic Search (AHS),{'alpha': 0.89},752.57,25.66,600730,23.95,0.1598
Asymmetric Heuristic Search (AHS),{'alpha': 0.9},834.98,26.79,600211,26.75,0.1818
Asymmetric Heuristic Search (AHS),{'alpha': 0.91},673.71,21.17,600448,21.25,0.1422
Asymmetric Heuristic Search (AHS),{'alpha': 0.92},656.31,16.62,601194,20.65,0.1319
Asymmetric Heuristic Search (AHS),{'alpha': 0.93},746.77,21.2,601200,23.65,0.1555
Asymmetric Heuristic Search (AHS),{'alpha': 0.94},820.08,17.05,600936,26.1,0.1656
Asymmetric Heuristic Search (AHS),{'alpha': 0.95},726.23,16.36,599540,22.8,0.1482
Asymmetric Heuristic Search (AHS),{'alpha': 0.96},740.72,14.41,600263,23.2,0.1535
Asymmetric Heuristic Search (AHS),{'alpha': 0.97},715.74,12.29,600088,22.2,0.146
Asymmetric Heuristic Search (AHS),{'alpha': 0.98},700.11,9.12,598782,21.3,0.1405
Asymmetric Heuristic Search (AHS),{'alpha': 0.99},708.65,6.86,597417,20.75,0.1384
