Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Death Spiral Rate (%),Time (s)
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.4},14.92,56.53,4571,0.0,66.9031
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.45},14.35,51.25,4800,0.0,61.1632
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.5},14.28,45.77,3349,0.0,60.3057
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.55},14.28,41.31,3288,0.0,58.5939
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.6},14.53,36.82,2861,0.0,58.7409
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.65},14.95,31.96,2994,0.0,56.8771
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.7},15.84,26.89,2555,0.0,59.238
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.75},17.03,21.69,2328,0.0,65.6444
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.8},18.86,17.28,2136,0.0,78.4385
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.85},21.64,13.02,1963,0.0,97.5154
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.9},27.4,8.31,1732,0.0,127.2337
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.95},41.92,3.97,1587,0.0,218.5125
