Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Bayesian Search,{'quantile': 0.75},61.49,24.98,13832,36.1789
Bayesian Search,{'quantile': 0.76},58.89,23.61,14450,33.8441
Bayesian Search,{'quantile': 0.77},60.17,22.17,14171,33.7132
Bayesian Search,{'quantile': 0.78},59.37,21.9,13761,32.8102
Bayesian Search,{'quantile': 0.79},60.77,20.45,12947,32.9489
Bayesian Search,{'quantile': 0.8},58.15,19.46,12152,31.2543
Bayesian Search,{'quantile': 0.81},58.03,18.33,11956,30.5202
Bayesian Search,{'quantile': 0.82},57.12,17.36,11818,29.3729
Bayesian Search,{'quantile': 0.83},57.63,16.16,7539,28.8834
Bayesian Search,{'quantile': 0.84},58.52,15.13,5944,28.5431
Bayesian Search,{'quantile': 0.85},56.27,14.07,5686,26.8129
Bayesian Search,{'quantile': 0.86},58.05,13.14,7973,27.3021
Bayesian Search,{'quantile': 0.87},58.19,12.15,5314,26.8733
Bayesian Search,{'quantile': 0.88},59.63,11.37,5446,27.0324
Bayesian Search,{'quantile': 0.89},60.34,10.3,4371,26.817
Bayesian Search,{'quantile': 0.9},61.97,9.14,4677,26.7895
