Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Bayesian Search,{'quantile': 0.75},59.42,25.2,14052,34.6824
Bayesian Search,{'quantile': 0.76},59.64,23.48,13091,32.852
Bayesian Search,{'quantile': 0.77},59.78,22.53,11943,32.7637
Bayesian Search,{'quantile': 0.78},57.01,21.81,13639,30.8083
Bayesian Search,{'quantile': 0.79},58.13,20.39,12034,30.5654
Bayesian Search,{'quantile': 0.8},57.37,19.17,11577,29.5826
Bayesian Search,{'quantile': 0.81},56.72,18.35,9320,28.8003
Bayesian Search,{'quantile': 0.82},58.95,17.12,12177,29.2406
Bayesian Search,{'quantile': 0.83},58.02,16.32,10519,28.2961
Bayesian Search,{'quantile': 0.84},57.3,14.98,6054,27.2012
Bayesian Search,{'quantile': 0.85},58.85,14.04,6977,27.4962
Bayesian Search,{'quantile': 0.86},60.06,13.21,7716,27.6155
Bayesian Search,{'quantile': 0.87},57.56,12.3,5640,25.843
Bayesian Search,{'quantile': 0.88},58.06,11.17,5708,25.5571
Bayesian Search,{'quantile': 0.89},59.47,10.28,4730,25.6943
Bayesian Search,{'quantile': 0.9},60.33,9.12,4773,25.4301
