Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Risk-Optimized Skew,{'alpha': 0.6},104.61,44.68,35981,0.0237
Risk-Optimized Skew,{'alpha': 0.61},100.11,43.66,35427,0.0217
Risk-Optimized Skew,{'alpha': 0.62},102.33,42.54,33674,0.0224
Risk-Optimized Skew,{'alpha': 0.63},99.91,41.22,41544,0.0214
Risk-Optimized Skew,{'alpha': 0.64},97.97,40.25,32991,0.0206
Risk-Optimized Skew,{'alpha': 0.65},94.0,39.11,31793,0.0197
Risk-Optimized Skew,{'alpha': 0.66},94.75,38.01,28072,0.0191
Risk-Optimized Skew,{'alpha': 0.67},93.74,36.72,25940,0.0189
Risk-Optimized Skew,{'alpha': 0.68},89.57,35.79,24153,0.0176
Risk-Optimized Skew,{'alpha': 0.69},89.19,34.82,24667,0.0179
Risk-Optimized Skew,{'alpha': 0.7},93.87,33.5,32021,0.0187
Risk-Optimized Skew,{'alpha': 0.71},87.08,32.49,24450,0.017
Risk-Optimized Skew,{'alpha': 0.72},86.16,31.23,26050,0.0159
Risk-Optimized Skew,{'alpha': 0.73},85.19,30.01,22972,0.0158
Risk-Optimized Skew,{'alpha': 0.74},84.72,29.13,20981,0.0149
Risk-Optimized Skew,{'alpha': 0.75},83.59,27.75,15889,0.0148
Risk-Optimized Skew,{'alpha': 0.76},82.1,26.48,15510,0.0141
Risk-Optimized Skew,{'alpha': 0.77},80.25,25.76,18406,0.0138
Risk-Optimized Skew,{'alpha': 0.78},79.34,24.4,15149,0.0133
Risk-Optimized Skew,{'alpha': 0.79},78.77,23.19,18823,0.0128
Risk-Optimized Skew,{'alpha': 0.8},77.67,22.08,16336,0.0122
Risk-Optimized Skew,{'alpha': 0.81},81.59,21.11,16393,0.0126
Risk-Optimized Skew,{'alpha': 0.82},78.26,19.82,16195,0.0119
Risk-Optimized Skew,{'alpha': 0.83},76.26,18.75,12197,0.0115
Risk-Optimized Skew,{'alpha': 0.84},78.69,17.71,14545,0.0118
Risk-Optimized Skew,{'alpha': 0.85},75.87,16.69,13663,0.0123
Risk-Optimized Skew,{'alpha': 0.86},78.11,15.46,9881,0.0111
Risk-Optimized Skew,{'alpha': 0.87},77.92,14.58,8443,0.0107
Risk-Optimized Skew,{'alpha': 0.88},77.38,13.23,7830,0.0104
Risk-Optimized Skew,{'alpha': 0.89},78.13,12.27,10234,0.0102
Risk-Optimized Skew,{'alpha': 0.9},75.69,11.08,7761,0.0095
