Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Risk-Optimized Skew,{'alpha': 0.6},106.28,44.66,38665,0.024
Risk-Optimized Skew,{'alpha': 0.61},104.18,43.45,33003,0.0232
Risk-Optimized Skew,{'alpha': 0.62},99.14,42.34,38452,0.0218
Risk-Optimized Skew,{'alpha': 0.63},98.77,41.28,44798,0.0218
Risk-Optimized Skew,{'alpha': 0.64},96.19,40.31,26866,0.0204
Risk-Optimized Skew,{'alpha': 0.65},100.28,39.04,37340,0.0212
Risk-Optimized Skew,{'alpha': 0.66},96.8,38.14,32399,0.0198
Risk-Optimized Skew,{'alpha': 0.67},95.19,36.97,36121,0.0198
Risk-Optimized Skew,{'alpha': 0.68},89.84,35.79,24716,0.0183
Risk-Optimized Skew,{'alpha': 0.69},93.56,34.68,33594,0.0206
Risk-Optimized Skew,{'alpha': 0.7},89.42,33.51,20907,0.0751
Risk-Optimized Skew,{'alpha': 0.71},89.9,32.46,23635,0.0227
Risk-Optimized Skew,{'alpha': 0.72},90.15,31.18,33621,0.0184
Risk-Optimized Skew,{'alpha': 0.73},85.66,30.21,25173,0.0188
Risk-Optimized Skew,{'alpha': 0.74},84.05,28.84,24768,0.0184
Risk-Optimized Skew,{'alpha': 0.75},82.1,27.6,20037,0.0173
Risk-Optimized Skew,{'alpha': 0.76},83.68,26.63,14842,0.0178
Risk-Optimized Skew,{'alpha': 0.77},82.2,25.55,17795,0.017
Risk-Optimized Skew,{'alpha': 0.78},78.66,24.45,16956,0.016
Risk-Optimized Skew,{'alpha': 0.79},83.67,23.21,15204,0.0157
Risk-Optimized Skew,{'alpha': 0.8},80.15,22.05,16578,0.013
Risk-Optimized Skew,{'alpha': 0.81},81.47,21.01,12315,0.0127
Risk-Optimized Skew,{'alpha': 0.82},78.98,19.96,12954,0.0123
Risk-Optimized Skew,{'alpha': 0.83},75.24,18.78,11044,0.0117
Risk-Optimized Skew,{'alpha': 0.84},80.8,17.68,10765,0.0123
Risk-Optimized Skew,{'alpha': 0.85},76.03,16.57,11662,0.011
Risk-Optimized Skew,{'alpha': 0.86},77.56,15.63,9610,0.0117
Risk-Optimized Skew,{'alpha': 0.87},75.91,14.29,8177,0.0111
Risk-Optimized Skew,{'alpha': 0.88},76.05,13.25,9046,0.0103
Risk-Optimized Skew,{'alpha': 0.89},75.37,12.13,6577,0.0101
Risk-Optimized Skew,{'alpha': 0.9},78.33,10.91,8492,0.0101
