Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Risk-Optimized Skew,{'alpha': 0.6},107.63,44.52,42269,0.0239
Risk-Optimized Skew,{'alpha': 0.61},102.97,43.72,44234,0.0231
Risk-Optimized Skew,{'alpha': 0.62},106.6,42.51,42677,0.0234
Risk-Optimized Skew,{'alpha': 0.63},95.08,41.23,31146,0.0208
Risk-Optimized Skew,{'alpha': 0.64},99.16,40.28,36136,0.0212
Risk-Optimized Skew,{'alpha': 0.65},94.88,39.0,28380,0.0207
Risk-Optimized Skew,{'alpha': 0.66},93.06,37.98,27022,0.0191
Risk-Optimized Skew,{'alpha': 0.67},93.94,36.79,34723,0.0197
Risk-Optimized Skew,{'alpha': 0.68},88.61,35.75,23721,0.0186
Risk-Optimized Skew,{'alpha': 0.69},88.76,34.65,24940,0.0179
Risk-Optimized Skew,{'alpha': 0.7},84.56,33.42,21971,0.0167
Risk-Optimized Skew,{'alpha': 0.71},89.36,32.35,21473,0.0174
Risk-Optimized Skew,{'alpha': 0.72},87.5,31.25,23706,0.0165
Risk-Optimized Skew,{'alpha': 0.73},87.7,30.23,24070,0.0188
Risk-Optimized Skew,{'alpha': 0.74},84.11,28.89,15706,0.015
Risk-Optimized Skew,{'alpha': 0.75},83.61,27.79,19272,0.0146
Risk-Optimized Skew,{'alpha': 0.76},82.55,26.66,25978,0.0141
Risk-Optimized Skew,{'alpha': 0.77},79.18,25.48,17147,0.0132
Risk-Optimized Skew,{'alpha': 0.78},79.45,24.35,18960,0.0134
Risk-Optimized Skew,{'alpha': 0.79},79.39,23.41,15565,0.0131
Risk-Optimized Skew,{'alpha': 0.8},78.34,22.02,17105,0.0125
Risk-Optimized Skew,{'alpha': 0.81},76.38,20.96,12140,0.0119
Risk-Optimized Skew,{'alpha': 0.82},77.42,19.91,11607,0.0119
Risk-Optimized Skew,{'alpha': 0.83},77.9,18.89,16568,0.0117
Risk-Optimized Skew,{'alpha': 0.84},78.68,17.78,12651,0.0116
Risk-Optimized Skew,{'alpha': 0.85},74.68,16.68,8663,0.0108
Risk-Optimized Skew,{'alpha': 0.86},74.37,15.5,10807,0.0104
Risk-Optimized Skew,{'alpha': 0.87},77.53,14.43,11491,0.0106
Risk-Optimized Skew,{'alpha': 0.88},76.55,13.39,8194,0.0103
Risk-Optimized Skew,{'alpha': 0.89},76.03,12.06,7504,0.0101
Risk-Optimized Skew,{'alpha': 0.9},78.67,11.07,9104,0.0102
