Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Death Spiral Rate (%),Time (s)
Asymmetric Heuristic Search (AHS),{'alpha': 0.5},928.23,63.59,601138,29.3,0.2312
Asymmetric Heuristic Search (AHS),{'alpha': 0.51},694.59,58.95,601129,21.3,0.1706
Asymmetric Heuristic Search (AHS),{'alpha': 0.52},744.82,56.8,601191,22.95,0.1762
Asymmetric Heuristic Search (AHS),{'alpha': 0.53},840.84,59.04,601080,26.45,0.2021
Asymmetric Heuristic Search (AHS),{'alpha': 0.54},1071.87,59.83,601153,34.4,0.2585
Asymmetric Heuristic Search (AHS),{'alpha': 0.55},798.01,60.0,601152,25.1,0.1891
Asymmetric Heuristic Search (AHS),{'alpha': 0.56},867.76,53.55,600828,27.45,0.2025
Asymmetric Heuristic Search (AHS),{'alpha': 0.57},719.77,60.08,601109,22.45,0.1723
Asymmetric Heuristic Search (AHS),{'alpha': 0.58},817.4,61.4,600781,25.85,0.199
Asymmetric Heuristic Search (AHS),{'alpha': 0.59},728.12,57.59,601169,22.85,0.1782
Asymmetric Heuristic Search (AHS),{'alpha': 0.6},701.13,54.68,601162,21.85,0.1672
Asymmetric Heuristic Search (AHS),{'alpha': 0.61},799.96,53.93,600815,25.3,0.1841
Asymmetric Heuristic Search (AHS),{'alpha': 0.62},832.61,51.37,601190,26.45,0.1904
Asymmetric Heuristic Search (AHS),{'alpha': 0.63},862.85,53.2,600589,27.5,0.201
Asymmetric Heuristic Search (AHS),{'alpha': 0.64},607.82,46.64,601096,18.75,0.1393
Asymmetric Heuristic Search (AHS),{'alpha': 0.65},674.92,44.41,601194,21.1,0.1544
Asymmetric Heuristic Search (AHS),{'alpha': 0.66},752.2,50.6,600888,23.75,0.1718
Asymmetric Heuristic Search (AHS),{'alpha': 0.67},1031.58,53.32,601199,33.3,0.2471
Asymmetric Heuristic Search (AHS),{'alpha': 0.68},810.71,47.74,600892,25.8,0.1927
Asymmetric Heuristic Search (AHS),{'alpha': 0.69},541.18,51.74,600894,16.6,0.1286
Asymmetric Heuristic Search (AHS),{'alpha': 0.7},705.08,39.3,601158,22.25,0.1553
Asymmetric Heuristic Search (AHS),{'alpha': 0.71},603.38,37.0,601195,18.8,0.1329
Asymmetric Heuristic Search (AHS),{'alpha': 0.72},857.1,37.3,601157,27.5,0.1923
Asymmetric Heuristic Search (AHS),{'alpha': 0.73},1014.33,46.9,600562,32.8,0.2278
Asymmetric Heuristic Search (AHS),{'alpha': 0.74},552.08,38.25,601174,17.1,0.1224
Asymmetric Heuristic Search (AHS),{'alpha': 0.75},549.75,42.4,601181,17.05,0.1221
Asymmetric Heuristic Search (AHS),{'alpha': 0.76},980.58,41.84,601144,31.75,0.2162
Asymmetric Heuristic Search (AHS),{'alpha': 0.77},872.17,33.18,600851,28.05,0.1902
Asymmetric Heuristic Search (AHS),{'alpha': 0.78},799.71,35.29,600628,25.6,0.1891
Asymmetric Heuristic Search (AHS),{'alpha': 0.79},823.52,43.28,600912,26.35,0.184
Asymmetric Heuristic Search (AHS),{'alpha': 0.8},590.31,34.89,601184,18.45,0.1299
Asymmetric Heuristic Search (AHS),{'alpha': 0.81},990.22,37.08,600650,32.05,0.221
Asymmetric Heuristic Search (AHS),{'alpha': 0.82},887.11,32.6,601190,28.6,0.1969
Asymmetric Heuristic Search (AHS),{'alpha': 0.83},732.42,41.06,600933,23.25,0.1635
Asymmetric Heuristic Search (AHS),{'alpha': 0.84},737.41,29.48,601179,23.5,0.1621
Asymmetric Heuristic Search (AHS),{'alpha': 0.85},617.97,21.72,601174,19.45,0.1292
Asymmetric Heuristic Search (AHS),{'alpha': 0.86},713.14,28.66,600841,22.65,0.1529
Asymmetric Heuristic Search (AHS),{'alpha': 0.87},563.74,23.87,600530,17.6,0.1196
Asymmetric Heuristic Search (AHS),{'alpha': 0.88},841.51,20.47,600639,27.05,0.1751
Asymmetric Heuristic Search (AHS),{'alpha': 0.89},806.09,25.86,600281,25.75,0.1713
Asymmetric Heuristic Search (AHS),{'alpha': 0.9},867.23,24.75,600132,27.85,0.1808
Asymmetric Heuristic Search (AHS),{'alpha': 0.91},683.82,21.36,600894,21.6,0.1415
Asymmetric Heuristic Search (AHS),{'alpha': 0.92},677.15,16.42,600404,21.35,0.1395
Asymmetric Heuristic Search (AHS),{'alpha': 0.93},756.45,21.76,599446,24.0,0.157
Asymmetric Heuristic Search (AHS),{'alpha': 0.94},764.42,16.4,600459,24.2,0.1579
Asymmetric Heuristic Search (AHS),{'alpha': 0.95},705.0,17.86,599268,22.1,0.1456
Asymmetric Heuristic Search (AHS),{'alpha': 0.96},740.22,15.37,600001,23.15,0.1528
Asymmetric Heuristic Search (AHS),{'alpha': 0.97},674.43,10.82,599384,20.75,0.1355
Asymmetric Heuristic Search (AHS),{'alpha': 0.98},706.27,10.28,597272,21.5,0.1399
Asymmetric Heuristic Search (AHS),{'alpha': 0.99},710.63,5.62,600785,20.75,0.1467
