Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Death Spiral Rate (%),Time (s)
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.4},14.88,56.18,4379,0.0,66.7847
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.45},14.35,51.83,3952,0.0,64.5672
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.5},14.27,45.63,3581,0.0,57.2745
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.55},14.4,40.92,3343,0.0,60.8153
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.6},14.43,36.53,3341,0.0,61.4619
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.65},14.96,32.23,2992,0.0,60.5517
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.7},15.79,26.58,2550,0.0,63.704
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.75},17.02,21.56,2385,0.0,70.2963
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.8},18.84,17.0,2140,0.0,79.7491
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.85},21.72,12.92,1964,0.0,95.1159
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.9},27.17,8.3,1775,0.0,128.4742
Constraint-Based Version Space Search (CB-VSS),{'quantile': 0.95},42.73,3.82,1580,0.0,226.1885
