Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Risk-Optimized Skew,{'alpha': 0.6},108.08,44.59,37992,0.0245
Risk-Optimized Skew,{'alpha': 0.61},107.7,43.66,27171,0.024
Risk-Optimized Skew,{'alpha': 0.62},101.9,42.51,40457,0.022
Risk-Optimized Skew,{'alpha': 0.63},98.67,41.44,28049,0.0217
Risk-Optimized Skew,{'alpha': 0.64},94.98,40.24,32204,0.0222
Risk-Optimized Skew,{'alpha': 0.65},97.37,38.96,32994,0.0226
Risk-Optimized Skew,{'alpha': 0.66},93.09,38.15,32388,0.0196
Risk-Optimized Skew,{'alpha': 0.67},93.22,36.78,24197,0.0186
Risk-Optimized Skew,{'alpha': 0.68},89.07,35.79,22318,0.018
Risk-Optimized Skew,{'alpha': 0.69},89.63,34.5,27233,0.0175
Risk-Optimized Skew,{'alpha': 0.7},91.75,33.52,26839,0.0173
Risk-Optimized Skew,{'alpha': 0.71},90.09,32.4,29402,0.017
Risk-Optimized Skew,{'alpha': 0.72},86.82,31.21,22688,0.0163
Risk-Optimized Skew,{'alpha': 0.73},89.43,30.2,22315,0.0161
Risk-Optimized Skew,{'alpha': 0.74},83.31,29.01,18715,0.015
Risk-Optimized Skew,{'alpha': 0.75},81.36,27.59,15927,0.014
Risk-Optimized Skew,{'alpha': 0.76},80.31,26.73,16683,0.0138
Risk-Optimized Skew,{'alpha': 0.77},80.82,25.77,15534,0.0141
Risk-Optimized Skew,{'alpha': 0.78},80.53,24.34,14355,0.0135
Risk-Optimized Skew,{'alpha': 0.79},77.94,23.35,17283,0.0129
Risk-Optimized Skew,{'alpha': 0.8},80.04,22.09,12455,0.0125
Risk-Optimized Skew,{'alpha': 0.81},77.12,21.06,12742,0.012
Risk-Optimized Skew,{'alpha': 0.82},79.55,20.14,13088,0.0125
Risk-Optimized Skew,{'alpha': 0.83},77.68,18.93,10773,0.0114
Risk-Optimized Skew,{'alpha': 0.84},75.76,17.58,11983,0.0109
Risk-Optimized Skew,{'alpha': 0.85},76.03,16.58,10503,0.0109
Risk-Optimized Skew,{'alpha': 0.86},74.56,15.44,9683,0.0104
Risk-Optimized Skew,{'alpha': 0.87},78.41,14.5,9259,0.0108
Risk-Optimized Skew,{'alpha': 0.88},77.9,13.17,8095,0.0106
Risk-Optimized Skew,{'alpha': 0.89},76.81,12.16,12650,0.0104
Risk-Optimized Skew,{'alpha': 0.9},76.71,11.0,7484,0.0098
