Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Death Spiral Rate (%),Time (s)
Asymmetric Heuristic Search (AHS),{'alpha': 0.5},853.5,65.21,601162,26.8,0.2044
Asymmetric Heuristic Search (AHS),{'alpha': 0.51},730.33,57.92,600724,22.45,0.1724
Asymmetric Heuristic Search (AHS),{'alpha': 0.52},749.33,56.48,600459,23.1,0.1799
Asymmetric Heuristic Search (AHS),{'alpha': 0.53},853.44,60.77,601041,26.9,0.2039
Asymmetric Heuristic Search (AHS),{'alpha': 0.54},1096.9,60.42,600811,35.25,0.2584
Asymmetric Heuristic Search (AHS),{'alpha': 0.55},759.18,60.39,601179,23.75,0.1802
Asymmetric Heuristic Search (AHS),{'alpha': 0.56},847.67,54.62,601147,26.8,0.1963
Asymmetric Heuristic Search (AHS),{'alpha': 0.57},717.1,60.2,600730,22.3,0.1691
Asymmetric Heuristic Search (AHS),{'alpha': 0.58},814.66,60.68,600805,25.75,0.1936
Asymmetric Heuristic Search (AHS),{'alpha': 0.59},811.55,57.45,600784,25.6,0.1906
Asymmetric Heuristic Search (AHS),{'alpha': 0.6},682.21,52.57,601097,21.2,0.1603
Asymmetric Heuristic Search (AHS),{'alpha': 0.61},786.96,54.08,601175,24.85,0.187
Asymmetric Heuristic Search (AHS),{'alpha': 0.62},927.66,51.49,601175,29.65,0.2132
Asymmetric Heuristic Search (AHS),{'alpha': 0.63},833.47,54.62,601114,26.5,0.1933
Asymmetric Heuristic Search (AHS),{'alpha': 0.64},593.5,46.84,601105,18.3,0.1356
Asymmetric Heuristic Search (AHS),{'alpha': 0.65},643.36,44.27,601106,20.0,0.1453
Asymmetric Heuristic Search (AHS),{'alpha': 0.66},796.08,55.16,600849,25.25,0.1845
Asymmetric Heuristic Search (AHS),{'alpha': 0.67},993.76,52.69,600596,32.05,0.2334
Asymmetric Heuristic Search (AHS),{'alpha': 0.68},789.58,48.37,600824,25.1,0.179
Asymmetric Heuristic Search (AHS),{'alpha': 0.69},546.38,50.42,601128,16.8,0.1351
Asymmetric Heuristic Search (AHS),{'alpha': 0.7},706.35,40.43,600905,22.3,0.1705
Asymmetric Heuristic Search (AHS),{'alpha': 0.71},665.9,39.42,601141,20.9,0.1547
Asymmetric Heuristic Search (AHS),{'alpha': 0.72},824.78,37.89,600829,26.35,0.2054
Asymmetric Heuristic Search (AHS),{'alpha': 0.73},1017.08,47.07,601166,32.9,0.2503
Asymmetric Heuristic Search (AHS),{'alpha': 0.74},590.76,37.9,601193,18.4,0.1343
Asymmetric Heuristic Search (AHS),{'alpha': 0.75},561.22,41.94,600476,17.4,0.1257
Asymmetric Heuristic Search (AHS),{'alpha': 0.76},964.03,41.86,600885,31.15,0.2411
Asymmetric Heuristic Search (AHS),{'alpha': 0.77},862.62,34.95,601170,27.75,0.2002
Asymmetric Heuristic Search (AHS),{'alpha': 0.78},814.81,35.38,601178,26.1,0.182
Asymmetric Heuristic Search (AHS),{'alpha': 0.79},822.15,41.79,601162,26.35,0.1827
Asymmetric Heuristic Search (AHS),{'alpha': 0.8},574.21,34.96,601168,17.95,0.1284
Asymmetric Heuristic Search (AHS),{'alpha': 0.81},932.6,37.6,601200,30.1,0.2169
Asymmetric Heuristic Search (AHS),{'alpha': 0.82},905.65,31.29,600642,29.2,0.1992
Asymmetric Heuristic Search (AHS),{'alpha': 0.83},767.76,40.42,601182,24.45,0.189
Asymmetric Heuristic Search (AHS),{'alpha': 0.84},725.49,27.0,600910,23.1,0.1577
Asymmetric Heuristic Search (AHS),{'alpha': 0.85},590.62,20.93,600600,18.5,0.1224
Asymmetric Heuristic Search (AHS),{'alpha': 0.86},709.5,28.3,600949,22.55,0.1585
Asymmetric Heuristic Search (AHS),{'alpha': 0.87},627.58,22.26,600624,19.75,0.1383
Asymmetric Heuristic Search (AHS),{'alpha': 0.88},970.48,22.85,601188,31.4,0.2132
Asymmetric Heuristic Search (AHS),{'alpha': 0.89},802.33,27.4,600954,25.65,0.173
Asymmetric Heuristic Search (AHS),{'alpha': 0.9},862.94,25.65,600953,27.65,0.1816
Asymmetric Heuristic Search (AHS),{'alpha': 0.91},699.64,22.86,601197,22.15,0.1468
Asymmetric Heuristic Search (AHS),{'alpha': 0.92},654.87,15.35,600637,20.6,0.1375
Asymmetric Heuristic Search (AHS),{'alpha': 0.93},768.51,20.3,601199,24.4,0.1675
Asymmetric Heuristic Search (AHS),{'alpha': 0.94},751.76,18.55,600972,23.75,0.1543
Asymmetric Heuristic Search (AHS),{'alpha': 0.95},726.83,16.23,599719,22.85,0.1488
Asymmetric Heuristic Search (AHS),{'alpha': 0.96},727.7,14.72,599767,22.75,0.1514
Asymmetric Heuristic Search (AHS),{'alpha': 0.97},752.26,11.1,600526,23.45,0.1499
Asymmetric Heuristic Search (AHS),{'alpha': 0.98},706.54,8.84,600094,21.5,0.1459
Asymmetric Heuristic Search (AHS),{'alpha': 0.99},670.78,6.01,600580,19.4,0.1306
