Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Bayesian Search,{'quantile': 0.75},60.05,24.97,13841,35.3078
Bayesian Search,{'quantile': 0.76},60.24,23.55,14574,34.4783
Bayesian Search,{'quantile': 0.77},59.59,22.89,13137,33.5111
Bayesian Search,{'quantile': 0.78},58.57,21.34,12146,32.1177
Bayesian Search,{'quantile': 0.79},58.67,20.25,10283,31.7402
Bayesian Search,{'quantile': 0.8},55.73,19.31,15179,29.4236
Bayesian Search,{'quantile': 0.81},56.87,18.14,12815,29.3446
Bayesian Search,{'quantile': 0.82},57.31,17.06,9758,29.0429
Bayesian Search,{'quantile': 0.83},58.23,16.36,10698,29.2366
Bayesian Search,{'quantile': 0.84},58.59,15.19,5833,28.6518
Bayesian Search,{'quantile': 0.85},58.33,14.14,6433,27.9548
Bayesian Search,{'quantile': 0.86},58.27,13.18,5411,27.3234
Bayesian Search,{'quantile': 0.87},59.51,12.39,5743,27.9028
Bayesian Search,{'quantile': 0.88},60.22,11.29,4866,27.596
Bayesian Search,{'quantile': 0.89},59.02,10.12,4642,26.023
Bayesian Search,{'quantile': 0.9},59.59,9.12,4816,26.6603
